 VTW   BTW    VAW    BAW      V      VMG    PHI   REEF    FLAT      CL  IT SAIL                                                                                                                           
6.0  120.0   5.35   68.25  4.851  -2.425   1.9  1.0000  1.0000  2.1984  2  Sym Spin
6.0  119.0   5.44   67.19  4.892  -2.372   2.0  1.0000  1.0000  2.2170  2  Sym Spin
6.0  118.0   5.54   66.16  4.932  -2.315   2.0  1.0000  1.0000  2.2335  2  Sym Spin
6.0  117.0   5.63   65.16  4.970  -2.256   2.1  1.0000  1.0000  2.2478  2  Sym Spin
6.0  116.0   5.73   64.21  5.007  -2.195   2.2  1.0000  1.0000  2.2596  2  Sym Spin
6.0  115.0   5.82   63.28  5.041  -2.130   2.2  1.0000  1.0000  2.2689  2  Sym Spin
6.0  114.0   5.92   62.39  5.074  -2.064   2.3  1.0000  1.0000  2.2758  2  Sym Spin
6.0  113.0   6.01   61.53  5.104  -1.994   2.4  1.0000  1.0000  2.2801  2  Sym Spin
6.0  112.0   6.10   60.70  5.133  -1.923   2.4  1.0000  1.0000  2.2828  2  Sym Spin
6.0  111.0   6.19   59.88  5.161  -1.850   2.5  1.0000  1.0000  2.2845  2  Sym Spin
6.0  110.0   6.28   59.10  5.187  -1.774   2.5  1.0000  1.0000  2.2853  2  Sym Spin
6.0  109.0   6.37   58.33  5.212  -1.697   2.6  1.0000  1.0000  2.2853  2  Sym Spin
6.0  108.0   6.46   57.58  5.235  -1.618   2.6  1.0000  1.0000  2.2844  2  Sym Spin
6.0  107.0   6.55   56.86  5.257  -1.537   2.7  1.0000  1.0000  2.2828  2  Sym Spin
6.0  106.0   6.64   56.15  5.277  -1.454   2.8  1.0000  1.0000  2.2805  2  Sym Spin
6.0  105.0   6.73   55.46  5.295  -1.370   2.8  1.0000  1.0000  2.2776  2  Sym Spin
6.0  104.0   6.81   54.79  5.312  -1.285   2.9  1.0000  1.0000  2.2743  2  Sym Spin
6.0  103.0   6.90   54.13  5.328  -1.198   2.9  1.0000  1.0000  2.2706  2  Sym Spin
6.0  102.0   6.98   53.49  5.342  -1.111   3.0  1.0000  1.0000  2.2666  2  Sym Spin
6.0  101.0   7.06   52.87  5.354  -1.022   3.0  1.0000  1.0000  2.2624  2  Sym Spin
6.0  100.0   7.14   52.25  5.365   -.932   3.1  1.0000  1.0000  2.2579  2  Sym Spin
6.0   99.0   7.22   51.65  5.374   -.841   3.1  1.0000  1.0000  2.2533  2  Sym Spin
6.0   98.0   7.30   51.07  5.382   -.749   3.2  1.0000  1.0000  2.2484  2  Sym Spin
6.0   97.0   7.38   50.49  5.388   -.657   3.3  1.0000  1.0000  2.2433  2  Sym Spin
6.0   96.0   7.45   49.93  5.393   -.564   3.3  1.0000  1.0000  2.2379  2  Sym Spin
6.0   95.0   7.53   49.37  5.395   -.470   3.4  1.0000  1.0000  2.2321  2  Sym Spin
6.0   94.0   7.60   48.79  5.404   -.377   3.4  1.0000  1.0000  2.2252  2  Sym Spin
6.0   93.0   7.67   48.27  5.402   -.283   3.5  1.0000  1.0000  2.2185  2  Sym Spin
6.0   92.0   7.74   47.76  5.398   -.188   3.5  1.0000  1.0000  2.2113  2  Sym Spin
6.0   91.0   7.80   47.26  5.392   -.094   3.5  1.0000  1.0000  2.2036  2  Sym Spin
6.0   90.0   7.87   46.76  5.384    .000   3.6  1.0000  1.0000  2.1952  2  Sym Spin
6.0   89.0   7.93   46.28  5.375    .094   3.6  1.0000  1.0000  2.1863  2  Sym Spin
6.0   88.0   7.99   45.80  5.364    .187   3.7  1.0000  1.0000  2.1767  2  Sym Spin
6.0   87.0   8.05   45.34  5.350    .280   3.7  1.0000  1.0000  2.1664  2  Sym Spin
6.0   86.0   8.10   44.88  5.335    .372   3.7  1.0000  1.0000  2.1553  2  Sym Spin
6.0   85.0   8.16   44.43  5.318    .464   3.8  1.0000  1.0000  2.1432  2  Sym Spin
6.0   84.0   8.21   43.99  5.298    .554   3.8  1.0000  1.0000  2.1300  2  Sym Spin
6.0   83.0   8.25   43.56  5.276    .643   3.8  1.0000  1.0000  2.1156  2  Sym Spin
6.0   82.0   8.30   43.14  5.251    .731   3.8  1.0000  1.0000  2.1000  2  Sym Spin
6.0   81.0   8.34   42.73  5.223    .817   3.8  1.0000  1.0000  2.0830  2  Sym Spin
6.0   80.0   8.38   42.33  5.193    .902   3.8  1.0000  1.0000  2.0647  2  Sym Spin
6.0   79.0   8.42   41.93  5.161    .985   3.8  1.0000  1.0000  2.0449  2  Sym Spin
6.0   78.0   8.45   41.55  5.125   1.066   3.8  1.0000  1.0000  2.0236  2  Sym Spin
6.0   77.0   8.48   41.17  5.088   1.145   3.8  1.0000  1.0000  2.0007  2  Sym Spin
6.0   76.0   8.51   40.80  5.048   1.221   3.8  1.0000  1.0000  1.9762  2  Sym Spin
6.0   75.0   8.53   40.43  5.006   1.296   3.8  1.0000  1.0000  1.9500  2  Sym Spin
6.0   74.0   8.56   40.07  4.962   1.368   3.7  1.0000  1.0000  1.9220  2  Sym Spin
6.0   73.0   8.58   39.71  4.916   1.437   3.7  1.0000  1.0000  1.8923  2  Sym Spin
6.0   72.0   8.59   39.36  4.867   1.504   3.7  1.0000  1.0000  1.8609  2  Sym Spin
6.0   71.0   8.61   39.01  4.816   1.568   3.6  1.0000  1.0000  1.8283  2  Sym Spin
6.0   70.0   8.62   38.66  4.763   1.629   3.6  1.0000  1.0000  1.7945  2  Sym Spin
6.0   69.0   8.63   38.33  4.707   1.687   3.5  1.0000  1.0000  1.7601  2  Sym Spin
6.0   68.0   8.63   38.00  4.648   1.741   3.5  1.0000  1.0000  1.7253  2  Sym Spin
6.0   67.0   8.63   37.68  4.585   1.792   3.4  1.0000  1.0000  1.6905  2  Sym Spin
6.0   66.0   8.63   37.36  4.519   1.838   3.3  1.0000  1.0000  1.6560  2  Sym Spin
6.0   65.0   8.62   37.06  4.450   1.881   3.3  1.0000  1.0000  1.6219  2  Sym Spin
6.0   64.0   8.61   36.76  4.377   1.919   3.2  1.0000  1.0000  1.5882  2  Sym Spin
6.0   63.0   8.59   36.47  4.301   1.952   3.1  1.0000  1.0000  1.5551  2  Sym Spin
6.0   62.0   8.57   36.19  4.222   1.982   3.1  1.0000  1.0000  1.5222  2  Sym Spin
6.0   61.0   8.55   35.90  4.141   2.008   3.0  1.0000  1.0000  1.4897  2  Sym Spin
6.0   60.0   8.52   35.62  4.058   2.029   2.9  1.0000  1.0000  1.4574  2  Sym Spin
6.0  149.6   3.26  117.08  3.468  -2.992    .5  1.0000  1.0000  1.3219  2  OPTDN Sym Spin
6.0  180.0   2.91  180.00  2.826  -2.826    .0  1.0000  1.0000  -.0580  3  Poled Asym
6.0  179.0   2.90  178.02  2.833  -2.833    .0  1.0000  1.0000  -.0155  2  Poled Asym
6.0  178.0   2.90  176.04  2.841  -2.839    .1  1.0000  1.0000   .0281  2  Poled Asym
6.0  177.0   2.89  174.04  2.850  -2.846    .1  1.0000  1.0000   .0651  2  Poled Asym
6.0  176.0   2.89  172.04  2.859  -2.852    .1  1.0000  1.0000   .0960  2  Poled Asym
6.0  175.0   2.89  170.03  2.869  -2.858    .1  1.0000  1.0000   .1294  2  Poled Asym
6.0  174.0   2.89  168.01  2.880  -2.865    .1  1.0000  1.0000   .1696  2  Poled Asym
6.0  173.0   2.89  165.98  2.893  -2.872    .1  1.0000  1.0000   .2147  2  Poled Asym
6.0  172.0   2.89  163.94  2.907  -2.879    .1  1.0000  1.0000   .2587  2  Poled Asym
