 VTW   BTW    VAW    BAW      V      VMG    PHI   REEF    FLAT      CL  IT SAIL                                                                                                                           
8.0   50.0  11.54   29.34  5.257   3.379   7.8  1.0000  1.0000  2.0545  3  Jib
8.0   49.0  11.51   28.95  5.175   3.395   7.7  1.0000  1.0000  2.0455  3  Jib
8.0   48.0  11.48   28.56  5.090   3.406   7.5  1.0000  1.0000  2.0365  3  Jib
8.0   47.0  11.45   28.18  5.004   3.413   7.1  1.0000   .9902  2.0075  3  Jib
8.0   46.0  11.41   27.80  4.917   3.416   6.5  1.0000   .9737  1.9651  3  Jib
8.0   45.0  11.38   27.41  4.829   3.415   6.0  1.0000   .9601  1.9285  4  Jib
8.0   44.0  11.33   27.01  4.736   3.407   5.7  1.0000   .9564  1.9121  3  Jib
8.0   43.0  11.28   26.62  4.635   3.390   5.5  1.0000   .9465  1.8835  3  Jib
8.0   42.0  11.22   26.25  4.523   3.361   5.2  1.0000   .9318  1.8460  3  Jib
8.0   41.0  11.14   25.91  4.398   3.319   4.9  1.0000   .9140  1.8027  4  Jib
8.0   40.0  11.05   25.58  4.261   3.264   4.7  1.0000   .8938  1.7553  4  Jib
8.0   39.0  10.95   25.26  4.114   3.197   4.4  1.0000   .8716  1.7045  4  Jib
8.0   38.0  10.84   24.95  3.958   3.119   4.2  1.0000   .8475  1.6506  4  Jib
8.0   37.0  10.71   24.66  3.791   3.027   3.9  1.0000   .8215  1.5933  4  Jib
8.0   36.0  10.58   24.38  3.610   2.921   3.7  1.0000   .7931  1.5322  4  Jib
8.0   35.0  10.42   24.14  3.412   2.795   3.5  1.0000   .7616  1.4662  4  Jib
8.0   34.0  10.25   23.93  3.192   2.646   3.2  1.0000   .7261  1.3933  4  Jib
8.0   33.0  10.04   23.80  2.938   2.464   3.0  1.0000   .6839  1.3097  4  Jib
8.0  165.4   3.94  151.51  3.740  -3.619    .4  1.0000  1.0000   .2425  2  Jib OPTDN
8.0  180.0   3.76  180.00  3.702  -3.702   -.1  1.0000  1.0000   .0762  3  Poled Jib
8.0  179.0   3.75  178.01  3.717  -3.717   -.1  1.0000  1.0000   .1401  3  Poled Jib
8.0  178.0   3.73  176.00  3.735  -3.732   -.1  1.0000  1.0000   .2043  3  Poled Jib
8.0  177.0   3.72  173.97  3.753  -3.748   -.1  1.0000  1.0000   .2683  3  Poled Jib
8.0  176.0   3.71  171.93  3.773  -3.764   -.1  1.0000  1.0000   .3317  3  Poled Jib
8.0  175.0   3.70  169.87  3.792  -3.777   -.1  1.0000  1.0000   .3939  3  Poled Jib
8.0  174.0   3.69  167.81  3.809  -3.788   -.1  1.0000  1.0000   .4543  3  Poled Jib
8.0  173.0   3.69  165.75  3.825  -3.796   -.1  1.0000  1.0000   .5122  3  Poled Jib
8.0  172.0   3.70  163.70  3.838  -3.800   -.1  1.0000  1.0000   .5672  3  Poled Jib
8.0  171.0   3.71  161.67  3.847  -3.799    .0  1.0000  1.0000   .6185  3  Poled Jib
8.0  170.0   3.73  159.67  3.851  -3.793    .0  1.0000  1.0000   .6655  3  Poled Jib
8.0  169.0   3.75  157.71  3.851  -3.781    .0  1.0000  1.0000   .7080  3  Poled Jib
8.0  168.0   3.78  155.78  3.849  -3.765    .0  1.0000  1.0000   .7464  3  Poled Jib
8.0  167.0   3.81  153.88  3.847  -3.748    .0  1.0000  1.0000   .7809  3  Poled Jib
8.0  166.0   3.84  151.99  3.846  -3.731    .0  1.0000  1.0000   .8120  3  Poled Jib
8.0  165.0   3.88  150.11  3.847  -3.716    .0  1.0000  1.0000   .8393  3  Poled Jib
8.0  164.0   3.91  148.23  3.851  -3.702    .0  1.0000  1.0000   .8625  3  Poled Jib
8.0  163.0   3.94  146.35  3.858  -3.690    .0  1.0000  1.0000   .8808  3  Poled Jib
8.0  162.0   3.97  144.47  3.867  -3.677    .1  1.0000  1.0000   .8916  3  Poled Jib
8.0  161.0   4.00  142.64  3.873  -3.662    .1  1.0000  1.0000   .8922  3  Poled Jib
8.0  160.0   4.04  140.87  3.875  -3.641    .1  1.0000  1.0000   .8808  3  Poled Jib
8.0  159.0   4.09  139.17  3.871  -3.614    .2  1.0000  1.0000   .8592  3  Poled Jib
8.0  158.0   4.14  137.55  3.862  -3.581    .2  1.0000  1.0000   .8302  3  Poled Jib
8.0  157.0   4.20  135.99  3.850  -3.544    .3  1.0000  1.0000   .7964  3  Poled Jib
8.0  156.0   4.25  134.49  3.835  -3.504    .3  1.0000  1.0000   .7600  3  Poled Jib
8.0  155.0   4.31  133.03  3.818  -3.460    .4  1.0000  1.0000   .7233  3  Poled Jib
8.0  154.0   4.38  131.61  3.801  -3.416    .4  1.0000  1.0000   .6883  3  Poled Jib
8.0  153.0   4.44  130.21  3.784  -3.372    .4  1.0000  1.0000   .6570  3  Poled Jib
8.0  152.0   4.50  128.82  3.770  -3.328    .5  1.0000  1.0000   .6307  3  Poled Jib
8.0  151.0   4.55  127.42  3.758  -3.287    .5  1.0000  1.0000   .6099  3  Poled Jib
8.0  150.0   4.61  126.01  3.750  -3.248    .6  1.0000  1.0000   .5945  3  Poled Jib
8.0  149.0   4.67  124.60  3.745  -3.210    .6  1.0000  1.0000   .5849  3  Poled Jib
8.0  148.0   4.72  123.16  3.744  -3.175    .6  1.0000  1.0000   .5809  3  Poled Jib
8.0  147.0   4.78  121.71  3.747  -3.142    .6  1.0000  1.0000   .5826  3  Poled Jib
8.0  146.0   4.83  120.23  3.754  -3.112    .7  1.0000  1.0000   .5891  3  Poled Jib
8.0  145.0   4.88  118.74  3.766  -3.084    .7  1.0000  1.0000   .6000  3  Poled Jib
8.0  144.0   4.93  117.22  3.781  -3.059    .7  1.0000  1.0000   .6145  3  Poled Jib
8.0  143.0   4.98  115.68  3.800  -3.034    .7  1.0000  1.0000   .6317  3  Poled Jib
8.0  142.0   5.03  114.14  3.821  -3.011    .7  1.0000  1.0000   .6507  3  Poled Jib
8.0  141.0   5.09  112.59  3.845  -2.988    .7  1.0000  1.0000   .6705  3  Poled Jib
8.0  140.0   5.14  111.05  3.870  -2.965    .8  1.0000  1.0000   .6900  3  Poled Jib
8.0  139.0   5.19  109.52  3.896  -2.940    .8  1.0000  1.0000   .7086  3  Poled Jib
8.0  138.0   5.25  108.02  3.921  -2.914    .8  1.0000  1.0000   .7261  3  Poled Jib
8.0  137.0   5.31  106.53  3.947  -2.886    .8  1.0000  1.0000   .7424  3  Poled Jib
8.0  136.0   5.37  105.07  3.972  -2.857    .8  1.0000  1.0000   .7571  3  Poled Jib
8.0  135.0   5.43  103.63  3.997  -2.826    .8  1.0000  1.0000   .7705  3  Poled Jib
8.0  171.7   3.70  163.05  3.841  -3.801    .0  1.0000  1.0000   .5840  3  OPTDN Poled Jib
8.0   45.7  11.41   27.69  4.894   3.416   6.3  1.0000   .9692  1.9535  2  OPTUP
8.0  180.0   3.90  180.00  3.751  -3.751    .1  1.0000  1.0000  -.0572  3  Sym Spin
8.0  165.0   3.93  149.77  3.992  -3.856    .4  1.0000  1.0000   .5647  2  Sym Spin
8.0  150.0   4.38  119.09  4.499  -3.896    .8  1.0000  1.0000  1.2865  2  Sym Spin
8.0  135.0   5.41   92.19  5.204  -3.680   1.5  1.0000  1.0000  1.8519  2  Sym Spin
8.0  120.0   6.93   72.87  5.866  -2.933   2.7  1.0000  1.0000  2.1747  2  Sym Spin
8.0  110.0   7.98   64.18  6.088  -2.082   3.5  1.0000  1.0000  2.2657  2  Sym Spin
8.0   90.0   9.85   50.72  6.216    .000   6.1  1.0000  1.0000  2.2465  3  Sym Spin
8.0   80.0  10.58   44.96  6.116   1.062   8.9  1.0000  1.0000  2.1642  2  Sym Spin
8.0   75.0  10.87   42.34  6.009   1.555   9.4  1.0000  1.0000  2.0800  2  Sym Spin
8.0   70.0  11.08   40.04  5.832   1.995   8.7  1.0000  1.0000  1.9405  2  Sym Spin
8.0   60.0  11.13   36.43  5.115   2.557   5.0  1.0000  1.0000  1.5575  3  Sym Spin
8.0  152.9   4.25  124.96  4.381  -3.902    .7  1.0000  1.0000  1.1545  1  OPTDN Sym Spin
8.0  180.0   3.91  180.00  3.742  -3.742    .1  1.0000  1.0000  -.0580  3  Poled Asym
8.0  165.0   3.93  149.78  3.989  -3.853    .4  1.0000  1.0000   .5641  2  Poled Asym
8.0  150.0   4.37  119.01  4.502  -3.899    .8  1.0000  1.0000  1.2989  2  Poled Asym
8.0  135.0   5.41   91.75  5.242  -3.707   1.5  1.0000  1.0000  1.9042  2  Poled Asym
8.0  120.0   6.95   72.33  5.931  -2.965   2.6  1.0000  1.0000  2.2331  2  Poled Asym
8.0  110.0   8.01   63.75  6.152  -2.104   3.5  1.0000  1.0000  2.3286  2  Poled Asym
8.0   90.0   9.89   50.33  6.287    .000   7.0  1.0000  1.0000  2.3500  2  Poled Asym
8.0   80.0  10.64   44.35  6.214   1.079  11.1  1.0000  1.0000  2.3378  2  Poled Asym
8.0   75.0  10.94   41.54  6.133   1.587  12.6  1.0000  1.0000  2.3066  2  Poled Asym
8.0   70.0  11.19   38.97  6.007   2.055  13.2  1.0000  1.0000  2.2302  2  Poled Asym
8.0   60.0  11.47   34.65  5.562   2.781  11.1  1.0000  1.0000  1.9712  2  Poled Asym
8.0  152.1   4.28  123.15  4.416  -3.902    .7  1.0000  1.0000  1.2016  1  OPTDN Poled Asym
8.0  180.0   3.94  180.00  3.501  -3.501    .1  1.0000  1.0000  -.1000  4  Jib
8.0  165.0   3.95  150.78  3.746  -3.619    .4  1.0000  1.0000   .2535  3  Jib
8.0  150.0   4.44  122.95  4.035  -3.494    .8  1.0000  1.0000   .7278  3  Jib
8.0  135.0   5.32   98.10  4.515  -3.193   1.1  1.0000  1.0000  1.1663  3  Jib
8.0  120.0   6.64   76.27  5.296  -2.648   1.8  1.0000  1.0000  1.6336  2  Jib
8.0  110.0   7.71   65.17  5.779  -1.976   2.6  1.0000  1.0000  1.9029  3  Jib
8.0   90.0   9.66   50.31  6.158    .000   4.3  1.0000  1.0000  2.2335  3  Jib
8.0   80.0  10.45   44.40  6.155   1.069   5.4  1.0000  1.0000  2.2640  3  Jib
8.0   75.0  10.78   41.60  6.116   1.583   6.4  1.0000  1.0000  2.2511  3  Jib
8.0   70.0  11.07   38.88  6.051   2.070   7.3  1.0000  1.0000  2.2250  3  Jib
8.0   60.0  11.50   33.75  5.812   2.906   8.4  1.0000  1.0000  2.1465  3  Jib
8.0   52.0  11.57   30.15  5.408   3.330   8.1  1.0000  1.0000  2.0726  3  Jib
8.0  165.4   3.94  151.51  3.740  -3.619    .4  1.0000  1.0000   .2425  2  Jib OPTDN
8.0  180.0   3.76  180.00  3.702  -3.702   -.1  1.0000  1.0000   .0762  4  Poled Jib
8.0  165.0   3.88  150.11  3.847  -3.716    .0  1.0000  1.0000   .8393  3  Poled Jib
8.0  150.0   4.61  126.01  3.750  -3.248    .6  1.0000  1.0000   .5945  4  Poled Jib
8.0  135.0   5.43  103.63  3.997  -2.826    .8  1.0000  1.0000   .7705  3  Poled Jib
8.0  171.7   3.70  163.05  3.841  -3.801    .0  1.0000  1.0000   .5840  3  OPTDN Poled Jib
8.0   45.7  11.41   27.69  4.894   3.416   6.3  1.0000   .9692  1.9535  2  OPTUP
10.0  180.0   4.94  180.00  4.621  -4.621    .1  1.0000  1.0000  -.0544  3  Sym Spin
10.0  179.0   4.94  178.06  4.630  -4.629    .1  1.0000  1.0000  -.0153  2  Sym Spin
10.0  178.0   4.93  176.12  4.639  -4.637    .1  1.0000  1.0000   .0248  2  Sym Spin
10.0  177.0   4.93  174.17  4.651  -4.644    .2  1.0000  1.0000   .0621  2  Sym Spin
10.0  176.0   4.93  172.21  4.663  -4.651    .2  1.0000  1.0000   .0967  2  Sym Spin
10.0  175.0   4.92  170.25  4.676  -4.658    .2  1.0000  1.0000   .1324  2  Sym Spin
10.0  174.0   4.93  168.28  4.691  -4.665    .3  1.0000  1.0000   .1718  2  Sym Spin
10.0  173.0   4.93  166.31  4.707  -4.672    .3  1.0000  1.0000   .2140  2  Sym Spin
10.0  172.0   4.93  164.34  4.724  -4.678    .3  1.0000  1.0000   .2566  2  Sym Spin
10.0  171.0   4.94  162.36  4.743  -4.684    .4  1.0000  1.0000   .2983  2  Sym Spin
10.0  170.0   4.95  160.37  4.762  -4.690    .4  1.0000  1.0000   .3400  2  Sym Spin
10.0  169.0   4.96  158.39  4.783  -4.695    .4  1.0000  1.0000   .3828  2  Sym Spin
10.0  168.0   4.97  156.40  4.805  -4.700    .5  1.0000  1.0000   .4273  2  Sym Spin
10.0  167.0   4.98  154.40  4.828  -4.705    .5  1.0000  1.0000   .4730  2  Sym Spin
10.0  166.0   5.00  152.41  4.853  -4.709    .5  1.0000  1.0000   .5196  2  Sym Spin
10.0  165.0   5.01  150.42  4.879  -4.712    .5  1.0000  1.0000   .5669  2  Sym Spin
10.0  164.0   5.03  148.42  4.906  -4.716    .6  1.0000  1.0000   .6150  2  Sym Spin
10.0  163.0   5.06  146.42  4.934  -4.719    .6  1.0000  1.0000   .6640  2  Sym Spin
10.0  162.0   5.08  144.43  4.964  -4.721    .6  1.0000  1.0000   .7138  2  Sym Spin
10.0  161.0   5.11  142.43  4.996  -4.724    .7  1.0000  1.0000   .7642  2  Sym Spin
10.0  160.0   5.14  140.44  5.029  -4.725    .7  1.0000  1.0000   .8149  2  Sym Spin
10.0  159.0   5.17  138.44  5.063  -4.727    .7  1.0000  1.0000   .8657  2  Sym Spin
10.0  158.0   5.20  136.45  5.099  -4.728    .8  1.0000  1.0000   .9165  2  Sym Spin
10.0  157.0   5.24  134.46  5.137  -4.729    .8  1.0000  1.0000   .9671  2  Sym Spin
10.0  156.0   5.28  132.48  5.176  -4.729    .8  1.0000  1.0000  1.0175  2  Sym Spin
10.0  155.0   5.32  130.50  5.217  -4.728    .9  1.0000  1.0000  1.0676  2  Sym Spin
10.0  154.0   5.36  128.53  5.259  -4.726    .9  1.0000  1.0000  1.1172  2  Sym Spin
10.0  153.0   5.41  126.57  5.302  -4.724   1.0  1.0000  1.0000  1.1662  2  Sym Spin
10.0  152.0   5.46  124.62  5.345  -4.720   1.0  1.0000  1.0000  1.2142  2  Sym Spin
10.0  151.0   5.51  122.70  5.390  -4.714   1.1  1.0000  1.0000  1.2612  2  Sym Spin
10.0  150.0   5.57  120.79  5.434  -4.706   1.1  1.0000  1.0000  1.3067  2  Sym Spin
10.0  149.0   5.63  118.92  5.478  -4.695   1.2  1.0000  1.0000  1.3507  2  Sym Spin
10.0  148.0   5.69  117.07  5.522  -4.683   1.2  1.0000  1.0000  1.3931  2  Sym Spin
10.0  147.0   5.76  115.26  5.565  -4.667   1.3  1.0000  1.0000  1.4336  2  Sym Spin
10.0  146.0   5.83  113.48  5.607  -4.648   1.3  1.0000  1.0000  1.4722  2  Sym Spin
10.0  145.0   5.91  111.74  5.648  -4.626   1.4  1.0000  1.0000  1.5089  2  Sym Spin
10.0  144.0   5.98  110.05  5.687  -4.601   1.4  1.0000  1.0000  1.5436  2  Sym Spin
10.0  143.0   6.07  108.39  5.726  -4.573   1.5  1.0000  1.0000  1.5765  2  Sym Spin
10.0  142.0   6.15  106.76  5.764  -4.542   1.5  1.0000  1.0000  1.6081  2  Sym Spin
10.0  141.0   6.24  105.18  5.801  -4.508   1.6  1.0000  1.0000  1.6385  2  Sym Spin
10.0  140.0   6.33  103.63  5.837  -4.471   1.7  1.0000  1.0000  1.6677  2  Sym Spin
10.0  139.0   6.42  102.12  5.872  -4.432   1.7  1.0000  1.0000  1.6959  2  Sym Spin
10.0  138.0   6.51  100.64  5.906  -4.389   1.8  1.0000  1.0000  1.7231  2  Sym Spin
10.0  137.0   6.61   99.20  5.939  -4.344   1.9  1.0000  1.0000  1.7493  2  Sym Spin
10.0  136.0   6.71   97.79  5.972  -4.296   1.9  1.0000  1.0000  1.7747  2  Sym Spin
10.0  135.0   6.81   96.41  6.004  -4.245   2.0  1.0000  1.0000  1.7992  2  Sym Spin
10.0  134.0   6.91   95.07  6.034  -4.192   2.1  1.0000  1.0000  1.8229  2  Sym Spin
10.0  133.0   7.01   93.75  6.065  -4.136   2.2  1.0000  1.0000  1.8459  2  Sym Spin
10.0  132.0   7.11   92.47  6.094  -4.078   2.2  1.0000  1.0000  1.8681  2  Sym Spin
10.0  131.0   7.22   91.21  6.123  -4.017   2.3  1.0000  1.0000  1.8897  2  Sym Spin
10.0  130.0   7.33   89.98  6.151  -3.953   2.4  1.0000  1.0000  1.9106  2  Sym Spin
10.0  129.0   7.43   88.77  6.178  -3.888   2.5  1.0000  1.0000  1.9309  2  Sym Spin
10.0  128.0   7.54   87.60  6.204  -3.820   2.6  1.0000  1.0000  1.9506  2  Sym Spin
10.0  127.0   7.65   86.44  6.230  -3.749   2.7  1.0000  1.0000  1.9696  2  Sym Spin
10.0  126.0   7.76   85.31  6.255  -3.677   2.7  1.0000  1.0000  1.9881  2  Sym Spin
10.0  125.0   7.87   84.20  6.280  -3.602   2.8  1.0000  1.0000  2.0060  2  Sym Spin
10.0  124.0   7.99   83.12  6.303  -3.525   2.9  1.0000  1.0000  2.0234  2  Sym Spin
10.0  123.0   8.10   82.06  6.326  -3.445   3.0  1.0000  1.0000  2.0402  2  Sym Spin
10.0  122.0   8.21   81.01  6.348  -3.364   3.1  1.0000  1.0000  2.0564  2  Sym Spin
10.0  121.0   8.32   79.99  6.370  -3.281   3.2  1.0000  1.0000  2.0721  2  Sym Spin
10.0  120.0   8.44   78.98  6.391  -3.195   3.3  1.0000  1.0000  2.0873  2  Sym Spin
10.0  119.0   8.55   78.00  6.411  -3.108   3.5  1.0000  1.0000  2.1020  2  Sym Spin
10.0  118.0   8.66   77.03  6.431  -3.019   3.6  1.0000  1.0000  2.1162  2  Sym Spin
10.0  117.0   8.78   76.07  6.450  -2.928   3.7  1.0000  1.0000  2.1300  2  Sym Spin
10.0  116.0   8.89   75.13  6.468  -2.835   3.8  1.0000  1.0000  2.1433  2  Sym Spin
10.0  115.0   9.00   74.21  6.486  -2.741   3.9  1.0000  1.0000  2.1562  2  Sym Spin
10.0  114.0   9.12   73.30  6.503  -2.645   4.1  1.0000  1.0000  2.1685  2  Sym Spin
10.0  113.0   9.23   72.41  6.519  -2.547   4.2  1.0000  1.0000  2.1803  2  Sym Spin
10.0  112.0   9.34   71.53  6.535  -2.448   4.3  1.0000  1.0000  2.1916  2  Sym Spin
10.0  111.0   9.46   70.66  6.549  -2.347   4.5  1.0000  1.0000  2.2023  2  Sym Spin
10.0  110.0   9.57   69.80  6.564  -2.245   4.6  1.0000  1.0000  2.2124  2  Sym Spin
10.0  109.0   9.68   68.96  6.577  -2.141   4.8  1.0000  1.0000  2.2219  2  Sym Spin
10.0  108.0   9.79   68.13  6.590  -2.036   5.0  1.0000  1.0000  2.2308  2  Sym Spin
10.0  107.0   9.90   67.31  6.602  -1.930   5.2  1.0000  1.0000  2.2391  2  Sym Spin
10.0  106.0  10.01   66.49  6.613  -1.823   5.5  1.0000  1.0000  2.2467  2  Sym Spin
10.0  105.0  10.12   65.69  6.623  -1.714   5.8  1.0000  1.0000  2.2536  3  Sym Spin
10.0  104.0  10.23   64.88  6.632  -1.604   6.4  1.0000  1.0000  2.2599  3  Sym Spin
10.0  103.0  10.34   64.09  6.640  -1.494   6.9  1.0000  1.0000  2.2655  2  Sym Spin
10.0  102.0  10.44   63.30  6.647  -1.382   7.4  1.0000  1.0000  2.2705  2  Sym Spin
10.0  101.0  10.55   62.51  6.653  -1.269   8.0  1.0000  1.0000  2.2747  2  Sym Spin
10.0  100.0  10.65   61.73  6.659  -1.156   8.5  1.0000  1.0000  2.2783  2  Sym Spin
10.0   99.0  10.75   60.96  6.663  -1.042   9.1  1.0000  1.0000  2.2811  2  Sym Spin
10.0   98.0  10.85   60.19  6.667   -.928   9.6  1.0000  1.0000  2.2832  2  Sym Spin
10.0   97.0  10.95   59.43  6.669   -.813  10.2  1.0000  1.0000  2.2846  2  Sym Spin
10.0   96.0  11.05   58.67  6.671   -.697  10.8  1.0000  1.0000  2.2853  2  Sym Spin
10.0   95.0  11.15   57.91  6.672   -.581  11.3  1.0000  1.0000  2.2853  2  Sym Spin
10.0   94.0  11.25   57.14  6.677   -.466  11.9  1.0000  1.0000  2.2845  2  Sym Spin
10.0   93.0  11.34   56.40  6.674   -.349  12.4  1.0000  1.0000  2.2831  2  Sym Spin
10.0   92.0  11.43   55.66  6.671   -.233  13.0  1.0000  1.0000  2.2810  2  Sym Spin
10.0   91.0  11.52   54.93  6.667   -.116  13.5  1.0000  1.0000  2.2784  2  Sym Spin
10.0   90.0  11.61   54.20  6.661    .000  14.0  1.0000  1.0000  2.2753  2  Sym Spin
10.0   89.0  11.70   53.48  6.655    .116  14.6  1.0000  1.0000  2.2717  2  Sym Spin
10.0   88.0  11.79   52.76  6.648    .232  15.1  1.0000  1.0000  2.2677  2  Sym Spin
10.0   87.0  11.87   52.04  6.639    .348  15.6  1.0000  1.0000  2.2634  2  Sym Spin
10.0   86.0  11.95   51.33  6.629    .463  16.1  1.0000  1.0000  2.2587  2  Sym Spin
10.0   85.0  12.03   50.62  6.619    .577  16.6  1.0000  1.0000  2.2538  2  Sym Spin
10.0   84.0  12.11   49.91  6.607    .691  17.1  1.0000  1.0000  2.2487  2  Sym Spin
10.0   83.0  12.19   49.21  6.594    .804  17.6  1.0000  1.0000  2.2431  2  Sym Spin
10.0   82.0  12.26   48.51  6.579    .916  18.1  1.0000  1.0000  2.2371  2  Sym Spin
10.0   81.0  12.34   47.82  6.564   1.027  18.6  1.0000  1.0000  2.2304  2  Sym Spin
10.0   80.0  12.41   47.14  6.547   1.137  19.0  1.0000  1.0000  2.2231  2  Sym Spin
10.0   79.0  12.48   46.46  6.528   1.246  19.5  1.0000  1.0000  2.2150  2  Sym Spin
10.0   78.0  12.54   45.79  6.509   1.353  19.9  1.0000  1.0000  2.2060  2  Sym Spin
10.0   77.0  12.61   45.13  6.488   1.460  20.2  1.0000   .9998  2.1957  2  Sym Spin
10.0   76.0  12.67   44.56  6.466   1.564  20.2  1.0000   .9925  2.1692  2  Sym Spin
10.0   75.0  12.74   44.00  6.443   1.668  20.2  1.0000   .9859  2.1431  2  Sym Spin
10.0   74.0  12.80   43.43  6.419   1.769  20.2  1.0000   .9801  2.1176  2  Sym Spin
10.0   73.0  12.87   42.87  6.394   1.869  20.1  1.0000   .9752  2.0926  2  Sym Spin
10.0   72.0  12.93   42.32  6.368   1.968  20.1  1.0000   .9715  2.0682  2  Sym Spin
10.0   71.0  12.98   41.77  6.340   2.064  20.0  1.0000   .9690  2.0444  2  Sym Spin
10.0   70.0  13.04   41.23  6.311   2.159  19.9  1.0000   .9671  2.0192  3  Sym Spin
10.0   69.0  13.09   40.71  6.281   2.251  19.8  1.0000   .9663  1.9933  2  Sym Spin
10.0   68.0  13.15   40.20  6.248   2.341  19.6  1.0000   .9671  1.9677  2  Sym Spin
10.0   67.0  13.20   39.69  6.214   2.428  19.4  1.0000   .9699  1.9426  2  Sym Spin
10.0   66.0  13.24   39.19  6.177   2.513  19.2  1.0000   .9747  1.9178  2  Sym Spin
10.0   65.0  13.28   38.71  6.138   2.594  18.9  1.0000   .9820  1.8933  2  Sym Spin
10.0   64.0  13.32   38.23  6.096   2.672  18.7  1.0000   .9918  1.8692  2  Sym Spin
10.0   63.0  13.36   37.79  6.051   2.747  18.2  1.0000  1.0000  1.8380  3  Sym Spin
10.0   62.0  13.40   37.44  6.001   2.817  17.3  1.0000  1.0000  1.7899  2  Sym Spin
10.0   61.0  13.43   37.10  5.946   2.883  16.3  1.0000  1.0000  1.7403  2  Sym Spin
10.0   60.0  13.45   36.76  5.884   2.942  15.3  1.0000  1.0000  1.6900  2  Sym Spin
10.0  156.5   5.26  133.45  5.157  -4.729    .8  1.0000  1.0000   .9928  2  OPTDN Sym Spin
10.0  180.0   4.95  180.00  4.614  -4.614    .1  1.0000  1.0000  -.0548  3  Poled Asym
10.0  179.0   4.94  178.06  4.623  -4.622    .1  1.0000  1.0000  -.0153  2  Poled Asym
10.0  178.0   4.93  176.12  4.633  -4.630    .1  1.0000  1.0000   .0252  2  Poled Asym
10.0  177.0   4.93  174.17  4.645  -4.638    .2  1.0000  1.0000   .0626  2  Poled Asym
10.0  176.0   4.92  172.21  4.657  -4.646    .2  1.0000  1.0000   .0969  2  Poled Asym
10.0  175.0   4.92  170.25  4.671  -4.653    .2  1.0000  1.0000   .1324  2  Poled Asym
10.0  174.0   4.92  168.29  4.687  -4.661    .3  1.0000  1.0000   .1719  2  Poled Asym
10.0  173.0   4.92  166.31  4.703  -4.668    .3  1.0000  1.0000   .2146  2  Poled Asym
10.0  172.0   4.93  164.34  4.721  -4.675    .3  1.0000  1.0000   .2576  2  Poled Asym
10.0  171.0   4.93  162.35  4.740  -4.682    .4  1.0000  1.0000   .2995  2  Poled Asym
10.0  170.0   4.94  160.37  4.760  -4.688    .4  1.0000  1.0000   .3412  2  Poled Asym
10.0  169.0   4.95  158.38  4.781  -4.693    .4  1.0000  1.0000   .3842  2  Poled Asym
10.0  168.0   4.96  156.39  4.804  -4.699    .5  1.0000  1.0000   .4288  2  Poled Asym
10.0  167.0   4.98  154.39  4.827  -4.704    .5  1.0000  1.0000   .4747  2  Poled Asym
10.0  166.0   4.99  152.40  4.852  -4.708    .5  1.0000  1.0000   .5214  2  Poled Asym
10.0  165.0   5.01  150.40  4.879  -4.712    .5  1.0000  1.0000   .5687  2  Poled Asym
10.0  164.0   5.03  148.40  4.906  -4.716    .6  1.0000  1.0000   .6168  2  Poled Asym
10.0  163.0   5.05  146.40  4.935  -4.719    .6  1.0000  1.0000   .6657  2  Poled Asym
10.0  162.0   5.07  144.40  4.965  -4.722    .6  1.0000  1.0000   .7155  2  Poled Asym
10.0  161.0   5.10  142.40  4.997  -4.724    .7  1.0000  1.0000   .7659  2  Poled Asym
10.0  160.0   5.13  140.41  5.030  -4.726    .7  1.0000  1.0000   .8167  2  Poled Asym
10.0  159.0   5.16  138.41  5.065  -4.728    .7  1.0000  1.0000   .8678  2  Poled Asym
10.0  158.0   5.19  136.41  5.101  -4.730    .8  1.0000  1.0000   .9191  2  Poled Asym
10.0  157.0   5.23  134.42  5.139  -4.730    .8  1.0000  1.0000   .9705  2  Poled Asym
10.0  156.0   5.27  132.43  5.179  -4.731    .9  1.0000  1.0000  1.0220  2  Poled Asym
10.0  155.0   5.31  130.44  5.220  -4.731    .9  1.0000  1.0000  1.0735  2  Poled Asym
10.0  154.0   5.35  128.46  5.263  -4.730    .9  1.0000  1.0000  1.1251  2  Poled Asym
10.0  153.0   5.40  126.49  5.307  -4.729   1.0  1.0000  1.0000  1.1764  2  Poled Asym
10.0  152.0   5.45  124.53  5.353  -4.726   1.0  1.0000  1.0000  1.2272  2  Poled Asym
10.0  151.0   5.50  122.59  5.398  -4.721   1.1  1.0000  1.0000  1.2771  2  Poled Asym
10.0  150.0   5.56  120.67  5.444  -4.715   1.1  1.0000  1.0000  1.3259  2  Poled Asym
10.0  149.0   5.62  118.78  5.490  -4.706   1.2  1.0000  1.0000  1.3732  2  Poled Asym
10.0  148.0   5.68  116.91  5.535  -4.694   1.2  1.0000  1.0000  1.4189  2  Poled Asym
10.0  147.0   5.75  115.09  5.580  -4.680   1.3  1.0000  1.0000  1.4628  2  Poled Asym
10.0  146.0   5.82  113.30  5.624  -4.662   1.3  1.0000  1.0000  1.5046  2  Poled Asym
10.0  145.0   5.89  111.54  5.666  -4.641   1.4  1.0000  1.0000  1.5444  2  Poled Asym
10.0  144.0   5.97  109.84  5.707  -4.617   1.4  1.0000  1.0000  1.5819  2  Poled Asym
10.0  143.0   6.05  108.17  5.746  -4.589   1.5  1.0000  1.0000  1.6172  2  Poled Asym
